Geo Point;Geo Shape;annee;borne_eau;eclairage;id_ajeu;nom;nom_voie;notes;numero;photo;sev;echelle;espace_publique;numsite;nuquart;nusect;objectid
48.1179391167, -1.68846582944;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.688756000102905, 48.11785440631317], [-1.688493754794064, 48.118152026228465], [-1.688191822673244, 48.11802945757794], [-1.68817551030383, 48.11802453049692], [-1.688436130462878, 48.11772685866264], [-1.688756000102905, 48.11785440631317]]]]}";2010;;;975;SQUARE SIMONE DE BEAUVOIR;;;0928AJEUX01;;Equipe 16;;OUI;0928;3;16;1968
48.1067180351, -1.65794141602;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.658045438707621, 48.10668582108212], [-1.658049072876731, 48.10673788495177], [-1.657872510515337, 48.106769355087316], [-1.65783560700497, 48.10669181896214], [-1.657878201187187, 48.10667864987217], [-1.658045438707621, 48.10668582108212]]]]}";2009;;;974;PROMENADE DES BONNETS ROUGES;;;0598AJEUX01;;Equipe 15;;OUI;0598;2;15;1967
48.1317177745, -1.6530733366;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.653148772779099, 48.13164447412181], [-1.653150243692532, 48.13177124597792], [-1.65310749166821, 48.131771067841605], [-1.653108302751988, 48.13179582931368], [-1.653004603603742, 48.1317990707419], [-1.653000731640592, 48.13164569511453], [-1.653148772779099, 48.13164447412181]]]]}";2011;;;981;PROMENADE ODETTE DE PUIGAUDEAU;;;0942AJEUX01;;Equipe 25;;;0942;5;29;1977
48.1099125306, -1.68819533974;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.688396458116148, 48.109905169723724], [-1.688027955132842, 48.10998802346249], [-1.687994393347579, 48.10991958504991], [-1.688363469133054, 48.10983716128737], [-1.688396458116148, 48.109905169723724]]]]}";2015;;;982;AVENUE DU MAIL F.MITTERRAND;François Mitterand;;0388AJEUX01;;Equipe 16;;;0388;3;16;2381
48.1301851928, -1.7014192057;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.701647174037293, 48.13029714922875], [-1.7014360328447, 48.130325019614475], [-1.701076953402868, 48.13012302590853], [-1.701574513432866, 48.130055585619765], [-1.701647174037293, 48.13029714922875]]]]}";2009;;;989;AXE SAINT MELAINE;Marie Dorval;;1329AJEUX01;;Equipe 25;;;1329;10;25;2799
48.1023822537, -1.68261919126;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.682552153797217, 48.102394326831934], [-1.682607143747803, 48.102335711841754], [-1.682688762504611, 48.10236430265316], [-1.682624778161052, 48.10243287603945], [-1.682552153797217, 48.102394326831934]]]]}";0;;;36;GS COLOMBIER;;;0057AJEUX01;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/005702.jpg;Equipe 10;500;NON;0057;1;10;81
48.0981637779, -1.68327518605;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.683245760152771, 48.09813030249828], [-1.683256330905575, 48.09812966999242], [-1.683268953982336, 48.098129507135106], [-1.68330472744629, 48.09813152244091], [-1.683314206980946, 48.09813245721447], [-1.68332498332403, 48.09813451866807], [-1.683331583555034, 48.0981364538073], [-1.68334722698615, 48.09814239976303], [-1.683335643975434, 48.09820015249326], [-1.683273525527665, 48.09819462852802], [-1.68319868873123, 48.098188010649444], [-1.683204324819342, 48.098152702853945], [-1.683204063407812, 48.0981492902977], [-1.683209564876518, 48.09814387954256], [-1.683216691149963, 48.098140393079056], [-1.683233605396284, 48.09813306030899], [-1.683245760152771, 48.09813030249828]]]]}";0;;;270;CRECHE ALAIN BOUCHART;;;0015AJEUX01;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/001501.jpg;Equipe 34;500;NON;0015;8;34;160
48.0892857066, -1.65519373121;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.655286424818389, 48.089479626528096], [-1.655286063040139, 48.08946244169686], [-1.655290240828104, 48.08940944677734], [-1.655261178343016, 48.08940899660546], [-1.655264869911942, 48.08931946256383], [-1.655267573339198, 48.089245269489844], [-1.655214234699914, 48.08924366436864], [-1.655157201799158, 48.08920400920207], [-1.655089512759808, 48.08920280324567], [-1.655088001398977, 48.089211228122714], [-1.655011571481678, 48.08920995895554], [-1.655010645100536, 48.08921899448631], [-1.654955094707597, 48.08921836457094], [-1.654955972531715, 48.08919096374943], [-1.654735090452451, 48.089188130882086], [-1.65473591026672, 48.089151097356336], [-1.654684570487604, 48.08915104466732], [-1.654684622371402, 48.08910566326492], [-1.654771885027494, 48.08909206790979], [-1.65480071510984, 48.089105401990054], [-1.654918478718844, 48.08910769501777], [-1.654918948333238, 48.08907490525565], [-1.655006328897342, 48.08910362244505], [-1.655079931364468, 48.08912785707617], [-1.655109567930147, 48.089137652383705], [-1.655208204684996, 48.08917481061371], [-1.655282822471059, 48.089212426229174], [-1.655387916296461, 48.089272684632036], [-1.65542852104732, 48.08929597143266], [-1.655418397737004, 48.08932197707173], [-1.655481661315469, 48.08935871890394], [-1.655530953588829, 48.089377839577615], [-1.655566457272609, 48.08937816032523], [-1.655563450077586, 48.08946785049172], [-1.65552543826403, 48.0894663545293], [-1.65552501725075, 48.08948383598335], [-1.655453132125915, 48.089482232523224], [-1.65545366020032, 48.089464387209794], [-1.655393335672319, 48.08946283986346], [-1.655390179703501, 48.08953993016964], [-1.65529908866147, 48.08954735377158], [-1.655301571734671, 48.08947911033037], [-1.655286424818389, 48.089479626528096]]]]}";0;;;388;GROUPE SCOLAIRE GUILLEVIC;;;0001AJEUX01;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/000101.jpg;Equipe 21;500;NON;0001;11;21;267
48.1001143163, -1.66892695721;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.668972414994148, 48.100074521501355], [-1.668980882485056, 48.10007286563532], [-1.668986806420527, 48.10007341166857], [-1.668992435092447, 48.10007502034186], [-1.668996893621539, 48.100076675639414], [-1.669001494124091, 48.10007989934062], [-1.669018205282355, 48.100113064818245], [-1.669017873470315, 48.100118063016716], [-1.669012080024159, 48.100123283041256], [-1.669004654125102, 48.100127781832356], [-1.668975444669232, 48.1001339528993], [-1.668964518717851, 48.10013439665608], [-1.668955814650593, 48.10013343911299], [-1.668925057088365, 48.1001268174715], [-1.668915454577325, 48.100124583555754], [-1.66890766162327, 48.10012070287629], [-1.668903793787276, 48.10011692409064], [-1.668899146496864, 48.10010451947768], [-1.668898944989067, 48.10009796877048], [-1.668901345238463, 48.10009419852304], [-1.668905212236923, 48.10008931895739], [-1.668907045358852, 48.100087932547716], [-1.668972414994148, 48.100074521501355]]], [[[-1.66867423155065, 48.10019820054498], [-1.668700807428918, 48.1001921662491], [-1.668708793690456, 48.100207946734656], [-1.668682217805, 48.10021398103235], [-1.66867423155065, 48.10019820054498]]], [[[-1.668613579905491, 48.10015117425517], [-1.668632381476841, 48.10014720197683], [-1.668637817168568, 48.100158746495936], [-1.668619413656513, 48.10016270260906], [-1.668613579905491, 48.10015117425517]]]]}";2008;Non;Non;948;JARDINS DES ORMEAUX;;;0006AJEUX01;;Equipe 19;0;OUI;0006;8;19;311
48.1225185231, -1.71123059535;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.71109088414542, 48.12274698719435], [-1.711096611891032, 48.12252961451151], [-1.711111017944809, 48.12252983806607], [-1.711111744939308, 48.122495598166864], [-1.711099506016794, 48.12249556968288], [-1.711103746108708, 48.122384675592265], [-1.710992120980502, 48.122384566111066], [-1.710996829245822, 48.12225528671018], [-1.711073810444975, 48.12225605121717], [-1.711087649887175, 48.122257645121344], [-1.711098223297498, 48.12226223199395], [-1.711160062189505, 48.12234059289242], [-1.711165243153395, 48.12234500598122], [-1.711170870296486, 48.12234823387231], [-1.711178484784393, 48.122349321346164], [-1.711286558825996, 48.122350453785806], [-1.711285472564663, 48.12238875793688], [-1.711460208484598, 48.12238939043559], [-1.711457770576431, 48.12249049872179], [-1.711362011911592, 48.1224903820609], [-1.711358966113381, 48.12260105514542], [-1.711455469957109, 48.122602137000776], [-1.711453052054653, 48.122708736644725], [-1.711342697893726, 48.12270768332116], [-1.711296231015544, 48.122706765556906], [-1.711243502534803, 48.122706605293175], [-1.711229651242407, 48.12271707756733], [-1.711228796944563, 48.1227426775662], [-1.711221439504996, 48.122748424290506], [-1.71109088414542, 48.12274698719435]]]]}";0;;;109;GROUPE SCOLAIRE PICARDIE;;;0192AJEUX02;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/019201.jpg;Equipe 18;500;NON;0192;10;18;289
